Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
30/09/2022;11.842;22.475;1664.716;3585.62;3318.2;387.85
29/09/2022;11.874;22.345;1674.931;3640.47;3279.04;382.89
28/09/2022;12.062;22.875;1715.243;3719.04;3335.3;389.41
27/09/2022;12.00;23.30;1662.509;3647.29;3328.65;388.24
26/09/2022;12.066;23.515;1655.882;3655.04;3342.56;388.75
23/09/2022;12.496;24.03;1679.59;3693.23;3348.6;390.4
22/09/2022;12.688;24.64;1722.31;3757.99;3427.14;399.76
21/09/2022;12.816;24.925;1762.158;3789.93;3491.87;407.05
20/09/2022;12.602;24.94;1787.504;3855.93;3467.09;403.42
19/09/2022;12.88;25.05;1812.843;3899.89;3499.49;407.87
16/09/2022;12.844;25.20;1798.189;3873.33;3500.41;408.24
15/09/2022;12.942;25.375;1825.234;3901.35;3541.79;414.78
14/09/2022;13.076;25.165;1838.464;3946.01;3567.56;417.51
13/09/2022;13.264;25.425;1831.575;3932.69;3586.18;421.13
12/09/2022;12.89;25.52;1906.086;4110.41;3646.51;427.75
09/09/2022;12.776;24.885;1882.848;4067.36;3570.04;420.37
08/09/2022;12.758;24.38;1846.906;4006.18;3512.38;414.09
07/09/2022;12.724;23.72;1832.003;3979.87;3502.09;412.01
06/09/2022;12.126;23.775;1792.323;3908.19;3500.14;414.38
05/09/2022;12.234;23.57;#N/A;#N/A;3490.01;413.39
02/09/2022;12.172;23.885;1809.748;3924.26;3544.38;415.97
01/09/2022;11.816;23.39;1822.818;3966.85;3456.7;407.66
31/08/2022;11.868;23.525;1844.115;3955;3517.25;415.12
30/08/2022;12.118;23.545;1855.594;3986.16;3561.92;419.81
29/08/2022;12.20;23.295;1882.941;4030.61;3570.51;422.65
26/08/2022;12.752;23.43;1899.83;4057.66;3603.68;426.09
25/08/2022;12.912;23.62;1964.636;4199.12;3674.54;433.36
24/08/2022;12.946;23.665;1935.286;4140.77;3667.46;432.05
23/08/2022;12.93;23.80;1919.143;4128.73;3652.52;431.35
22/08/2022;12.914;23.78;1915.743;4137.99;3658.22;433.17
19/08/2022;12.938;24.26;1957.346;4228.48;3730.32;437.36
18/08/2022;12.922;24.375;2000.729;4283.74;3777.38;440.76
17/08/2022;12.95;24.45;1987.314;4274.04;3756.06;439.03
16/08/2022;12.976;24.585;2020.529;4305.2;3805.22;443.07
15/08/2022;12.846;24.46;2021.346;4297.14;3789.62;442.35
12/08/2022;12.90;24.415;2016.616;4280.15;3776.81;440.87
11/08/2022;12.806;24.26;1975.257;4207.27;3757.05;440.16
10/08/2022;12.746;24.155;1969.249;4210.24;3749.35;439.88
09/08/2022;12.604;23.89;1912.891;4122.47;3715.37;435.98
08/08/2022;12.562;23.85;1941.206;4140.06;3757.22;438.93
05/08/2022;12.452;23.48;1921.824;4145.19;3725.39;435.72
04/08/2022;12.42;23.14;1906.456;4151.94;3754.6;439.06
